Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,item_retrieved,,,,Item_retreived_values
TXN_5728991,Salad,2,5,10,,,1/1/2023,Salad,,,,Coffee
TXN_8249251,Cake,3,3,9,ERROR,In-store,1/1/2023,Cake,,,,Cake
TXN_8842223,Smoothie,5,4,20,Digital Wallet,In-store,1/1/2023,Smoothie,,,,Cookie
TXN_7367474,Cake,5,3,15,Digital Wallet,Takeaway,1/1/2023,Cake,,,,Salad
TXN_2192787,Smoothie,5,4,20,Cash,In-store,1/1/2023,Smoothie,,,,Coffee
TXN_5563675,Tea,3,1.5,4.5,Digital Wallet,In-store,1/1/2023,Tea,,,,Smoothie
TXN_8308672,Salad,2,5,10,Digital Wallet,Takeaway,1/1/2023,Salad,,,,Cake
TXN_5358805,Coffee,5,2,10,Digital Wallet,ERROR,1/1/2023,Coffee,,,,Smoothie
TXN_2690222,Cake,4,3,12,,,1/1/2023,Cake,,,,Cake
TXN_2024598,Smoothie,1,4,4,Digital Wallet,In-store,1/1/2023,Smoothie,,,,Smoothie
TXN_4292280,Cake,4,3,12,Cash,Takeaway,1/1/2023,Cake,,,,Salad
TXN_3093284,Coffee,4,2,8,Digital Wallet,In-store,1/1/2023,Coffee,,,,Smoothie
TXN_6566716,Coffee,1,2,2,Credit Card,,1/1/2023,Coffee,,,,Smoothie
TXN_1604072,Coffee,2,2,4,,,1/1/2023,Coffee,,,,Cookie
TXN_6234882,Cookie,4,1,4,Credit Card,ERROR,1/1/2023,Cookie,,,,Tea
TXN_6093955,Tea,5,1.5,7.5,UNKNOWN,Takeaway,1/1/2023,Tea,,,,Salad
TXN_4801947,Cake,1,3,3,Digital Wallet,Takeaway,1/1/2023,Cake,,,,Smoothie
TXN_1581562,Coffee,2,2,4,Cash,In-store,1/1/2023,Coffee,,,,Cake
TXN_9161256,Smoothie,2,4,8,Digital Wallet,In-store,1/1/2023,Smoothie,,,,Cake
TXN_2104473,Cake,3,3,9,Digital Wallet,Takeaway,1/1/2023,Cake,,,,Cake
TXN_7906197,Smoothie,5,4,20,Credit Card,In-store,1/2/2023,Smoothie,,,,Smoothie
TXN_1026827,Cookie,4,1,4,Digital Wallet,In-store,1/2/2023,Cookie,,,,Smoothie
TXN_6868182,Smoothie,5,4,20,Credit Card,UNKNOWN,1/2/2023,Smoothie,,,,Smoothie
TXN_3410971,Smoothie,1,4,4,,Takeaway,1/2/2023,Smoothie,,,,Smoothie
TXN_4893692,Salad,2,5,10,,,1/2/2023,Salad,,,,Smoothie
TXN_6843517,Smoothie,5,4,20,Credit Card,In-store,1/2/2023,Smoothie,,,,Smoothie
TXN_5741619,Smoothie,5,4,20,Cash,,1/2/2023,Smoothie,,,,Cookie
TXN_4258943,Smoothie,2,4,8,Credit Card,In-store,1/2/2023,Smoothie,,,,Cake
TXN_1853298,Cookie,5,1,5,Credit Card,,1/2/2023,Cookie,,,,Smoothie
TXN_4262142,Cake,2,3,6,Cash,Takeaway,1/2/2023,Cake,,,,Cake
TXN_2339781,Smoothie,2,4,8,,In-store,1/2/2023,Smoothie,,,,Coffee
TXN_1298084,Tea,2,1.5,3,Credit Card,Takeaway,1/2/2023,Tea,,,,Cookie
TXN_6079741,Cookie,4,1,4,,Takeaway,1/2/2023,Cookie,,,,Smoothie
TXN_6935600,Coffee,3,2,6,UNKNOWN,,1/2/2023,Coffee,,,,Cookie
TXN_4314314,Cake,4,3,12,Cash,ERROR,1/2/2023,Cake,,,,Smoothie
TXN_2714524,Smoothie,4,4,16,Cash,Takeaway,1/2/2023,Smoothie,,,,Smoothie
TXN_9454387,Salad,2,5,10,Cash,Takeaway,1/2/2023,Salad,,,,Cake
TXN_9649503,Cake,1,3,3,Credit Card,Takeaway,1/2/2023,Cake,,,,Salad
TXN_9326761,Tea,1,1.5,1.5,,,1/2/2023,Tea,,,,Smoothie
TXN_6882503,Tea,1,1.5,1.5,,In-store,1/2/2023,Tea,,,,Coffee
TXN_2575160,Tea,5,1.5,7.5,,UNKNOWN,1/2/2023,Tea,,,,Smoothie
TXN_3205009,Tea,2,1.5,3,Cash,In-store,1/3/2023,Tea,,,,Smoothie
TXN_6368719,Cake,4,3,12,Credit Card,Takeaway,1/3/2023,Cake,,,,Tea
